ImageFile,targ_side,correctAnswer,n,fix.started_mean,fix.started_raw,fix.started_std,fix.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_mean,key_resp_7.started_raw,key_resp_7.started_std,key_resp_7.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,j,1.0,43.0442008972168,43.0442008972168,0.0,,45.03266525268555,45.03266525268555,0.0,,1.0,1.0,0.0,'j',0.6609941124916077,0.6609941124916077,0.0,45.03266525268555,45.03266525268555,0.0,,'space',1.9293254613876343,1.9293254613876343,0.0,43.0442008972168,43.0442008972168,0.0,,45.71342849731445,45.71342849731445,0.0,,1.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,j,1.0,65.24976348876953,65.24976348876953,0.0,,66.65147399902344,66.65147399902344,0.0,,1.0,1.0,0.0,'j',0.4668397009372711,0.4668397009372711,0.0,66.65147399902344,66.65147399902344,0.0,,'space',1.3402687311172485,1.3402687311172485,0.0,65.24976348876953,65.24976348876953,0.0,,67.13531494140625,67.13531494140625,0.0,,11.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,j,1.0,54.93914794921875,54.93914794921875,0.0,,55.4023551940918,55.4023551940918,0.0,,1.0,1.0,0.0,'j',0.5311446785926819,0.5311446785926819,0.0,55.4023551940918,55.4023551940918,0.0,,'space',0.3943493962287903,0.3943493962287903,0.0,54.93914794921875,54.93914794921875,0.0,,55.957401275634766,55.957401275634766,0.0,,6.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,j,1.0,56.95805740356445,56.95805740356445,0.0,,57.50831985473633,57.50831985473633,0.0,,1.0,1.0,0.0,'j',0.5293226838111877,0.5293226838111877,0.0,57.50831985473633,57.50831985473633,0.0,,'space',0.4485257863998413,0.4485257863998413,0.0,56.95805740356445,56.95805740356445,0.0,,58.05910110473633,58.05910110473633,0.0,,7.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,j,1.0,50.80200958251953,50.80200958251953,0.0,,51.282039642333984,51.282039642333984,0.0,,1.0,1.0,0.0,'j',0.6036700010299683,0.6036700010299683,0.0,51.282039642333984,51.282039642333984,0.0,,'space',0.41173699498176575,0.41173699498176575,0.0,50.80200958251953,50.80200958251953,0.0,,51.90304183959961,51.90304183959961,0.0,,4.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,j,1.0,39.28064727783203,39.28064727783203,0.0,,40.04099655151367,40.04099655151367,0.0,,1.0,1.0,0.0,'j',1.9730885028839111,1.9730885028839111,0.0,40.04099655151367,40.04099655151367,0.0,,'space',0.6452540755271912,0.6452540755271912,0.0,39.28064727783203,39.28064727783203,0.0,,42.03793716430664,42.03793716430664,0.0,,0.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,j,1.0,72.20684051513672,72.20684051513672,0.0,,72.69689178466797,72.69689178466797,0.0,,1.0,1.0,0.0,'j',0.5888170003890991,0.5888170003890991,0.0,72.69689178466797,72.69689178466797,0.0,,'space',0.4308067858219147,0.4308067858219147,0.0,72.20684051513672,72.20684051513672,0.0,,73.3077163696289,73.3077163696289,0.0,,14.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,f,1.0,74.30896759033203,74.30896759033203,0.0,,74.69678497314453,74.69678497314453,0.0,,1.0,1.0,0.0,'f',0.5504521131515503,0.5504521131515503,0.0,74.69678497314453,74.69678497314453,0.0,,'space',0.329263299703598,0.329263299703598,0.0,74.30896759033203,74.30896759033203,0.0,,75.26002502441406,75.26002502441406,0.0,,15.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,f,1.0,48.66667938232422,48.66667938232422,0.0,,49.05974578857422,49.05974578857422,0.0,,1.0,1.0,0.0,'f',0.7139471769332886,0.7139471769332886,0.0,49.05974578857422,49.05974578857422,0.0,,'space',0.32322850823402405,0.32322850823402405,0.0,48.66667938232422,48.66667938232422,0.0,,49.8009147644043,49.8009147644043,0.0,,3.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,f,1.0,68.1361083984375,68.1361083984375,0.0,,68.6877212524414,68.6877212524414,0.0,,1.0,1.0,0.0,'f',0.4617582857608795,0.4617582857608795,0.0,68.6877212524414,68.6877212524414,0.0,,'space',0.4463338851928711,0.4463338851928711,0.0,68.1361083984375,68.1361083984375,0.0,,69.17032623291016,69.17032623291016,0.0,,12.0
Practice arrays/exp1a_trial_23_colour2_distractors19_l.png,l,f,1.0,61.11214828491211,61.11214828491211,0.0,,61.59654998779297,61.59654998779297,0.0,,1.0,1.0,0.0,'f',0.6653615236282349,0.6653615236282349,0.0,61.59654998779297,61.59654998779297,0.0,,'space',0.372979998588562,0.372979998588562,0.0,61.11214828491211,61.11214828491211,0.0,,62.28000259399414,62.28000259399414,0.0,,9.0
Practice arrays/exp1a_trial_25_colour3_distractors1_l.png,l,f,1.0,59.06031799316406,59.06031799316406,0.0,,59.48216247558594,59.48216247558594,0.0,,1.0,1.0,0.0,'f',0.6036908030509949,0.6036908030509949,0.0,59.48216247558594,59.48216247558594,0.0,,'space',0.32969990372657776,0.32969990372657776,0.0,59.06031799316406,59.06031799316406,0.0,,60.1110725402832,60.1110725402832,0.0,,8.0
Practice arrays/exp1a_trial_27_colour3_distractors9_l.png,l,f,1.0,70.17157745361328,70.17157745361328,0.0,,70.67109680175781,70.67109680175781,0.0,,1.0,1.0,0.0,'f',0.5103502869606018,0.5103502869606018,0.0,70.67109680175781,70.67109680175781,0.0,,'space',0.4103459119796753,0.4103459119796753,0.0,70.17157745361328,70.17157745361328,0.0,,71.20573425292969,71.20573425292969,0.0,,13.0
Practice arrays/exp1a_trial_16_colour1_distractors4_l.png,l,f,1.0,52.90412902832031,52.90412902832031,0.0,,53.37400436401367,53.37400436401367,0.0,,1.0,1.0,0.0,'f',0.552192211151123,0.552192211151123,0.0,53.37400436401367,53.37400436401367,0.0,,'space',0.37399330735206604,0.37399330735206604,0.0,52.90412902832031,52.90412902832031,0.0,,53.93864440917969,53.93864440917969,0.0,,5.0
Practice arrays/exp1a_trial_30_colour0_distractors0_r.png,r,j,1.0,46.71449661254883,46.71449661254883,0.0,,47.119422912597656,47.119422912597656,0.0,,1.0,1.0,0.0,'j',0.5187203288078308,0.5187203288078308,0.0,47.119422912597656,47.119422912597656,0.0,,'space',0.3067884147167206,0.3067884147167206,0.0,46.71449661254883,46.71449661254883,0.0,,47.66543960571289,47.66543960571289,0.0,,2.0
Practice arrays/exp1a_trial_31_colour0_distractors0_l.png,l,f,1.0,63.28145980834961,63.28145980834961,0.0,,63.74416732788086,63.74416732788086,0.0,,1.0,1.0,0.0,'f',0.4853959083557129,0.4853959083557129,0.0,63.74416732788086,63.74416732788086,0.0,,'space',0.3723677098751068,0.3723677098751068,0.0,63.28145980834961,63.28145980834961,0.0,,64.2489013671875,64.2489013671875,0.0,,10.0

extraInfo
participant,
session,001
date,2021_Oct_01_1553
expName,searchDisc4
psychopyVersion,2021.1.2
frameRate,60.12860305547748
